id_gmina,nazwa
584,Krosno Odrzańskie
585,Maszewo
586,Maszewo
587,Bledzew
588,Międzyrzecz
589,Przytoczna
590,Pszczew
591,Skwierzyna
592,Trzciel
593,Bytom Odrzański
594,Kolsko
595,Kożuchów
596,Nowa Sól
597,Nowa Sól
598,Nowe Miasteczko
599,Otyń
600,Siedlisko
601,Sława
602,Szlichtyngowa
603,Wschowa
604,Cybinka
605,Górzyca
606,Ośno Lubuskie
607,Rzepin
608,Słubice
609,Dobiegniew
610,Drezdenko
611,Stare Kurowo
612,Strzelce Krajeńskie
613,Zwierzyn
614,Krzeszyce
615,Lubniewice
616,Słońsk
617,Sulęcin
618,Torzym
619,Lubrza
620,Łagów
621,Skąpe
622,Szczaniec
623,Świebodzin
624,Zbąszynek
625,Zielona Góra
626,Babimost
627,Bojadła
628,Czerwieńsk
629,Kargowa
630,Nowogród Bobrzański
631,Sulechów
632,Świdnica
633,Trzebiechów
634,Zabór
635,Brzeźnica
636,Gozdnica
637,Iłowa
638,Małomice
639,Niegosławice
640,Szprotawa
641,Wymiarki
642,Żagań
643,Żagań
644,Brody
645,Jasień
646,Lipinki Łużyckie
647,Lubsko
648,Łęknica
649,Przewóz
650,Trzebiel
651,Tuplice
652,Żary
653,Żary
654,Bełchatów
655,Bełchatów
656,Drużbice
657,Kleszczów
658,Kluki
659,Rusiec
660,Szczerców
661,Zelów
662,Bedlno
663,Dąbrowice
664,Krośniewice
665,Krzyżanów
666,Kutno
667,Kutno
668,Łanięta
669,Nowe Ostrowy
670,Oporów
671,Strzelce
672,Żychlin
673,Buczek
674,Łask
675,Sędziejowice
676,Widawa
677,Wodzierady
678,Daszyna
679,Góra Świętej Małgorzaty
680,Grabów
681,Łęczyca
682,Łęczyca
683,Piątek
684,Świnice Warckie
685,Witonia
686,Bielawy
687,Chąśno
688,Domaniewice
689,Kiernozia
690,Kocierzew Południowy
691,Łowicz
692,Łowicz
693,Łyszkowice
694,Nieborów
695,Zduny
696,Andrespol
697,Brójce
698,Brzeziny
699,Brzeziny
700,Dmosin
701,Jeżów
702,Koluszki
703,Nowosolna
704,Rogów
705,Rzgów
706,Tuszyn
707,Łódź
708,Białaczów
709,Drzewica
710,Mniszków
711,Opoczno
712,Paradyż
713,Poświętne
714,Sławno
715,Żarnów
716,Dłutów
717,Dobroń
718,Konstantynów Łódzki
719,Ksawerów
720,Lutomiersk
721,Pabianice
722,Pabianice
723,Działoszyn
724,Kiełczygłów
725,Nowa Brzeźnica
726,Pajęczno
727,Rząśnia
728,Siemkowice
729,Strzelce Wielkie
730,Sulmierzyce
731,Aleksandrów
732,Czarnocin
733,Gorzkowice
734,Grabica
735,Łęki Szlacheckie
736,Moszczenica
737,Ręczno
738,Rozprza
739,Sulejów
740,Wola Krzysztoporska
741,Wolbórz
742,Piotrków Trybunalski
743,Dalików
744,Pęczniew
745,Poddębice
746,Uniejów
